Name,Estado,Cidade,Segmento,Público Alvo,Modelo de Receita,Ano de Fundação,Tamanho,Mais Informação,Momento
Tarvos™,SP,CAMPINAS,Agronegócio,B2B2C,Hardware,2018,11-20,sbase.me/s/tarvos-1591210284631,Tração
Botnicks,SP,SÃO PAULO,Recursos Humanos,B2B,SaaS,2017,1-5,sbase.me/s/botnicks,Operação
SisRUN,SP,BAURU,Esportes,B2B,SaaS,2016,1-5,sbase.me/s/sisrun,Operação
Lilu,SP,SÃO PAULO,Pets,B2C,Consumer,2018,11-20,sbase.me/s/lilu,Tração
Waggl Brasil,SP,SÃO PAULO,Gestão,B2B,SaaS,2018,6-10,sbase.me/s/waggl-brasil,Tração
iPensão (Projeto cancelado!),SP,SÃO PAULO,Casa e Família,B2C,Consumer,2019,1-5,sbase.me/s/ipensao-projeto-cancelado-,Ideação
panorama.id,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B,SaaS,2017,6-10,sbase.me/s/panoramaid,Operação
Everlog,SP,VINHEDO,Logística e Mobilidade Urbana,B2B,SaaS,2016,11-20,sbase.me/s/everlog-1566998795408,Tração
Edupass,SP,SÃO PAULO,Educação,B2B,SaaS,2018,6-10,sbase.me/s/edupass,Tração
Eshows,SP,SÃO PAULO,Entretenimento,B2B2C,Marketplace,2014,11-20,sbase.me/s/eshows,Tração
7Waves,SP,SOROCABA,Recursos Humanos,B2B,SaaS,2017,21-50,sbase.me/s/7waves,Operação
Streammus,SP,SÃO PAULO,Entretenimento,B2B2C,SaaS,2017,6-10,sbase.me/s/streammus,Tração
ZapWedding,SP,SÃO JOSÉ DOS CAMPOS,Eventos e Turismo,B2B,SaaS,2018,1-5,sbase.me/s/zapwedding,Tração
Mub.ee,SP,SÃO JOSÉ DOS CAMPOS,Finanças,B2B,SaaS,2017,1-5,sbase.me/s/mubee,Operação
LACE,SP,SÃO JOSÉ DOS CAMPOS,Segurança e Defesa,B2B,Hardware,2015,11-20,sbase.me/s/lace,Operação
Aerospace Brazil Certifications,SP,SÃO JOSÉ DOS CAMPOS,Segurança e Defesa,B2B,Outros,2015,1-5,sbase.me/s/aerospace-brazil-certifications,Tração
Thirty Seven Trend,SP,SÃO JOSÉ DOS CAMPOS,Moda e Beleza,B2C,Marketplace,2018,6-10,sbase.me/s/thirty-seven-trend,Operação
OPMAX,SP,BARUERI,Finanças,B2B,SaaS,2015,6-10,sbase.me/s/opmax,Tração
Bilbbo,SP,SANTO ANDRÉ,Educação,B2C,Consumer,2018,1-5,sbase.me/s/bilbbo,Operação
Hubchain Technologies,SP,SÃO PAULO,Finanças,B2B,SaaS,2017,21-50,sbase.me/s/hubchain-technologies,Tração
Construa Já,SP,ÁGUAS DE SÃO PEDRO,Construção Civil,B2B2C,Marketplace,2019,6-10,sbase.me/s/construa-ja,Operação
Batuta OP,SP,SÃO JOSÉ DOS CAMPOS,Educação,B2B2C,Outros,1984,1-5,sbase.me/s/batuta-op,Ideação
CuidadoJá,SP,SÃO PAULO,Saúde e Bem-estar,B2C,Marketplace,2018,6-10,sbase.me/s/cuidadoja-1570287797558,Tração
Bongô up,SP,SÃO JOSÉ DOS CAMPOS,Desenvolvimento de Software,B2B,SaaS,2019,1-5,sbase.me/s/bongo-up,Ideação
Ludos Pro,SP,SÃO PAULO,Educação,B2B,SaaS,2018,6-10,sbase.me/s/ludos-pro,Tração
UNICO EXPERIENCIAS,SP,CAMPINAS,Eventos e Turismo,B2B2C,Marketplace,2018,6-10,sbase.me/s/unico-experiencias,Operação
festON,SP,SÃO CAETANO DO SUL,Eventos e Turismo,B2B2C,Marketplace,2017,21-50,sbase.me/s/feston,Tração
Liigo,SP,RIBEIRÃO PIRES,Educação,B2C,Marketplace,2018,6-10,sbase.me/s/liigo,Operação
photopic,SP,SÃO PAULO,Outros,B2B,Marketplace,2018,1-5,sbase.me/s/photopic,Ideação
adurah.app,SP,SÃO JOSÉ DOS CAMPOS,Saúde e Bem-estar,B2B2C,Marketplace,2018,1-5,sbase.me/s/adurah-app,Ideação
PR Couti Comunicação,SP,GUARULHOS,Comunicação e Mídia,B2B2C,Outros,2019,6-10,sbase.me/s/pr-couti-comunicacao,Operação
e-Solutech,SP,SÃO JOSÉ DOS CAMPOS,Indústria,B2B,Hardware,2017,1-5,sbase.me/s/esolutech,Ideação
Projecta.VC,SP,SÃO JOSÉ DOS CAMPOS,Gestão,B2B,Consumer,2019,6-10,sbase.me/s/projecta-vc,Operação
FINDRS,SP,SÃO PAULO,Segurança e Defesa,B2B,Licenciamento,2017,6-10,sbase.me/s/findrs,Operação
Alstra Technologies,SP,SÃO PAULO,Recrutamento,B2B,Marketplace,2018,21-50,sbase.me/s/alstra-technologies,Tração
Sobrado.tv,SP,SÃO PAULO,Video,B2B,Outros,2013,6-10,sbase.me/s/sobrado-tv,Tração
Newbe,SP,SÃO PAULO,Recursos Humanos,B2B,SaaS,2015,6-10,sbase.me/s/newbe,Tração
Joga,SP,SÃO PAULO,Esportes,B2C,Marketplace,2018,6-10,sbase.me/s/joga-2,Operação
VICTORY HEALTH,SP,SÃO PAULO,Saúde e Bem-estar,B2B2C,SaaS,2016,6-10,sbase.me/s/victory-health,Tração
Doein,SP,JUNDIAÍ,Internet,B2C,Marketplace,2018,6-10,sbase.me/s/doein,Operação
Tarefa Geek,SP,SÃO PAULO,Outros,B2B2C,Marketplace,2017,6-10,sbase.me/s/tarefa-geek,Tração
Rubian,SP,SÃO PAULO,Meio Ambiente,B2C,E-commerce,2014,6-10,sbase.me/s/rubian-xtract-servicos-ltda,Tração
MVISIA,SP,SÃO PAULO,Indústria,B2B,SaaS,2011,6-10,sbase.me/s/mvisia,Tração
SUIV,SP,SÃO PAULO,Automobilismo,B2B,SaaS,2015,6-10,sbase.me/s/suiv,Tração
Mobilitee,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B,SaaS,2016,6-10,sbase.me/s/mobilitee,Tração
Tuuris,SP,SÃO PAULO,Eventos e Turismo,B2B2C,Marketplace,2016,6-10,sbase.me/s/tuuris,Tração
SimplificaOBRA / SimplificaCOTAÇÃO,SP,SÃO PAULO,Construção Civil,B2B2C,Marketplace,2010,6-10,sbase.me/s/simplificaobra-simplificacotacao,Tração
TakeNow,SP,SÃO PAULO,Varejo / Atacado,B2B,SaaS,2017,6-10,sbase.me/s/takenow,Operação
Oxiot,SP,SÃO PAULO,Saúde e Bem-estar,B2B,SaaS,2014,6-10,sbase.me/s/oxiot,Tração
Venuxx,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B2C,Marketplace,2015,6-10,sbase.me/s/venuxx,Tração
Intelup,SP,PIRACICABA,Indústria,B2B,SaaS,2014,6-10,sbase.me/s/intelup,Tração
FitPay,SP,SÃO PAULO,Finanças,B2B,SaaS,2017,6-10,sbase.me/s/fitpay,Operação
Forlidar,SP,PIRACICABA,Agronegócio,B2B,SaaS,2016,6-10,sbase.me/s/forlidar,Tração
Guiaponto,SP,SÃO PAULO,Vendas e Marketing,B2B,SaaS,2012,6-10,sbase.me/s/guiaponto,Operação
dLieve Tecnologia Logística,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B,SaaS,2015,6-10,sbase.me/s/dlieve-tecnologia-logistica,Tração
BTime,SP,SÃO PAULO,Gestão,B2B,SaaS,2013,6-10,sbase.me/s/btime,Tração
Cennarium,SP,SÃO PAULO,Entretenimento,B2C,SaaS,2013,6-10,sbase.me/s/cennarium,Tração
Let´s Work,SP,SÃO PAULO,Gestão,B2B,SaaS,2016,6-10,sbase.me/s/let´s-work,Tração
